priority_rank,school_id,school_name,region,priority_score,priority_category,risk_score,risk_level,regional_risk_score,regional_risk_level,problem_detected,recommended_intervention,intervention_priority,expected_improvement_range,assumption_basis,weak_subject_count,weak_subjects,weakest_subject,weakest_subject_gpa,weakest_subject_pass_rate,pass_rate_decline_score,subject_failure_score,trend_instability_score,data_quality,data_origin,scenario_origin
11,S1280,USANGU SECONDARY SCHOOL,MBEYA,92.01939999999885,Critical,92.82187146324331,High,15.2299274586872,Safe,12 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",12,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,76.0729048774777,Complete,observed-derived,assumption-based
12,S0265,CORNELIUS SECONDARY SCHOOL,DAR ES SALAAM,90.10420000000138,Critical,92.10948016295848,High,20.104661333212597,Safe,12 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",12,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,73.69826720986157,Complete,observed-derived,assumption-based
13,S2455,ELLY'S SECONDARY SCHOOL,MARA,89.76317307692307,Critical,96.32646306394409,High,14.728177735991629,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,5.0,0.0,100.0,96.29629629629629,91.45858058351735,Complete,observed-derived,assumption-based
14,S2211,MWILAMVYA SECONDARY SCHOOL,KIGOMA,86.10819999999961,Critical,89.23225491759416,High,15.6157062435702,Safe,13 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",13,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, ENGLISH LANGUAGE, FRENCH LANGUAGE, GEOGRAPHY, HISTORY, INFORMATION & COMPUTER STUDIES, KISWAHILI, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,64.10751639198057,Complete,observed-derived,assumption-based
15,S1767,MTENDE SECONDARY SCHOOL,KUSINI UNGUJA,86.04694256756756,Critical,85.63472413793103,High,29.784566930731593,Safe,11 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",11,"ARABIC LANGUAGE, BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",BASIC MATHEMATICS,5.0,0.0,100.0,88.50574712643679,63.609999999999985,Limited trend history,observed-derived,assumption-based
16,S4864,KERITH BROOK SECONDARY SCHOOL,NJOMBE,85.29579999999996,Critical,94.2623369722495,High,11.733623151058401,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,80.874456574165,Complete,observed-derived,assumption-based
17,S5025,KEIFO SECONDARY SCHOOL,MBEYA,84.83019999999982,Critical,93.30548479545294,High,15.2299274586872,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,77.68494931817646,Complete,observed-derived,assumption-based
18,S4186,LYCEUM SECONDARY SCHOOL,DAR ES SALAAM,84.72562500000001,Critical,81.70437351295675,High,20.104661333212597,Safe,14 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",14,"BASIC MATHEMATICS, BIBLE KNOWLEDGE, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,5.0,0.0,61.904761904762104,96.61016949152543,93.1980596786476,Complete,observed-derived,assumption-based
19,S3724,MUHANGA SECONDARY SCHOOL,DAR ES SALAAM,84.22420000000005,Critical,89.77774342001536,High,20.104661333212597,Safe,9 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",9,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,65.92581140005117,Complete,observed-derived,assumption-based
20,S5698,HILL LAND SECONDARY SCHOOL,MBEYA,84.0160000000001,Critical,91.46720542429263,High,15.2299274586872,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,71.55735141430877,Complete,observed-derived,assumption-based
21,S6157,ADAM K. MALIMA SECONDARY SCHOOL,MARA,83.90125,Critical,82.97430386740331,High,14.728177735991629,Safe,6 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",6,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY",BIOLOGY,4.88,11.0,100.0,67.81767955801105,75.42999999999999,Limited trend history,observed-derived,assumption-based
22,S4011,ST AGATHON SECONDARY SCHOOL,RUVUMA,83.0469999999996,Critical,86.27517606627477,High,13.15909616684323,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,54.25058688758257,Complete,observed-derived,assumption-based
23,S2991,GUDUWI SECONDARY SCHOOL,SIMIYU,82.51270833333334,Critical,81.84590649597331,High,8.844839643051184,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",ENGLISH LANGUAGE,4.8472,15.277777777777779,100.0,59.32504440497336,80.16131058160437,Complete,observed-derived,assumption-based
24,S2611,NAMANGALE SECONDARY SCHOOL,LINDI,82.09158163265306,Critical,86.45696009377544,High,12.84197949680209,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9796,2.0408163265306123,100.0,67.22689075630252,87.62964288961561,Complete,observed-derived,assumption-based
25,S7303,SEREGETE SECONDARY SCHOOL,MOROGORO,82.083125,Critical,79.363,High,15.95585882761668,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY",BASIC MATHEMATICS,5.0,0.0,100.0,75.0,56.21000000000001,Limited trend history,observed-derived,assumption-based
26,S5000,WAMA-NAKAYAMA SECONDARY SCHOOL,PWANI,81.80559999999963,Critical,89.78258199093335,High,17.439754644711357,Safe,12 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",12,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, INFORMATION & COMPUTER STUDIES, KISWAHILI, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,65.94193996977783,Complete,observed-derived,assumption-based
27,S1796,DR. DIDAS MASABURI SECONDARY SCHOOL,DAR ES SALAAM,80.93002045454494,Critical,87.6646742614736,High,20.104661333212597,Safe,12 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",12,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BOOK-KEEPING,5.0,0.0,100.0,88.77005347593582,70.11219406230956,Complete,observed-derived,assumption-based
28,S0701,KARANGAI SECONDARY SCHOOL,ARUSHA,80.33338461538466,Critical,86.42414676210004,High,10.147427954710333,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,54.74715587366676,Complete,observed-derived,assumption-based
29,S4883,NJELEKELA ISLAMIC SEMINARY,KIGOMA,80.27249999999998,Critical,93.0295,High,15.6157062435702,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",BASIC MATHEMATICS,5.0,0.0,100.0,80.0,96.76500000000001,Limited trend history,observed-derived,assumption-based
30,S0307,DODOMA CENTRAL SECONDARY SCHOOL,DODOMA,79.95999999999998,High,98.9505123203415,High,15.43601814574629,Safe,9 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",9,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,96.50170773447167,Complete,observed-derived,assumption-based
31,S0375,JUMUIYA SECONDARY SCHOOL,TANGA,79.95999999999998,High,90.75726028593462,High,20.294586897484997,Safe,11 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",11,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, FINE ART, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,69.19086761978207,Complete,observed-derived,assumption-based
32,S0930,NGATEU SECONDARY SCHOOL,ARUSHA,79.95999999999998,High,91.85343298555549,High,10.147427954710333,Safe,11 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",11,"BASIC MATHEMATICS, BIBLE KNOWLEDGE, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,72.8447766185183,Complete,observed-derived,assumption-based
33,S2365,ANDREW FAZA MEMORIAL SECONDARY SCHOOL,DAR ES SALAAM,79.95999999999998,High,85.56913267346025,High,20.104661333212597,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH",BASIC MATHEMATICS,,0.0,100.0,100.0,51.89710891153413,Complete,observed-derived,assumption-based
34,S3524,ELITE SECONDARY SCHOOL,ARUSHA,79.95999999999998,High,100.0,High,10.147427954710333,Safe,13 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",13,"BASIC MATHEMATICS, BIBLE KNOWLEDGE, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,100.0,Complete,observed-derived,assumption-based
35,S4408,KASSA CHARITY SECONDARY SCHOOL,MWANZA,79.95999999999998,High,94.40149480136004,High,12.76285609523234,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,81.3383160045335,Complete,observed-derived,assumption-based
36,S4633,SINAI SECONDARY SCHOOL,MBEYA,79.95999999999998,High,95.30713828797789,High,15.2299274586872,Safe,11 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",11,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,84.357127626593,Complete,observed-derived,assumption-based
37,S5277,HADY SECONDARY SCHOOL,ARUSHA,79.95999999999998,High,90.48768737151634,High,10.147427954710333,Safe,12 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",12,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,68.29229123838783,Complete,observed-derived,assumption-based
38,S5299,GRACIOUS SECONDARY SCHOOL,KAGERA,79.95999999999998,High,92.7205,High,12.691611547450492,Safe,9 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",9,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,75.735,Complete,observed-derived,assumption-based
39,S5367,UJIJI ISLAMIC SECONDARY SCHOOL,KIGOMA,79.95999999999998,High,97.1485449128692,High,15.6157062435702,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,90.49514970956398,Complete,observed-derived,assumption-based
40,S6318,SULHIYA ISLAMIC SECONDARY SCHOOL,KASKAZINI UNGUJA,79.95999999999998,High,92.21948710089575,High,31.980911441841236,Moderate,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"ARABIC LANGUAGE, BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI",ARABIC LANGUAGE,,0.0,100.0,100.0,74.06495700298582,Complete,observed-derived,assumption-based
41,S3501,HOPE SECONDARY SCHOOL,IRINGA,79.33499999999998,High,81.38560763790282,High,12.684959143067804,Safe,9 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",9,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",BASIC MATHEMATICS,5.0,0.0,100.0,62.5,75.4520254596761,Limited trend history,observed-derived,assumption-based
42,S5162,UNIQUE LEARNING SECONDARY SCHOOL,KASKAZINI UNGUJA,79.2198684210511,High,92.3515149160299,High,31.980911441841236,Moderate,11 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",11,"ARABIC LANGUAGE, BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",ARABIC LANGUAGE,,0.0,95.06578947367413,100.0,81.08399708853416,Complete,observed-derived,assumption-based
43,S6964,MAHARU SECONDARY SCHOOL,SINGIDA,79.18161184210527,High,79.67048543689322,High,16.00969834893016,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",PHYSICS,5.0,0.0,100.0,63.83495145631068,68.40000000000002,Limited trend history,observed-derived,assumption-based
44,S6165,LAMATA SECONDARY SCHOOL,RUVUMA,78.53401785714286,High,75.00215655577298,High,13.15909616684323,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,High,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, HISTORY, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,4.9143,2.857142857142857,100.0,57.87671232876712,58.797142857142845,Limited trend history,observed-derived,assumption-based
